District,Restaurant_Name,Class,Vibe / Specialty,Approx. Range (LKR),Best Time,Night/Day/Evening
Colombo,Ministry of Crab,High Class,Seafood Specialties,4000-10000,Lunch/Dinner,Day/Evening
Colombo,"Shang Palace, Shangri-La Colombo",High Class,Authentic Rice & Curry,4000-10000,Lunch/Dinner,Day/Evening
Colombo,Emperor's Wok,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Colombo,Menya Hanabi Sri Lanka,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Colombo,Adityaa Indian Restaurant,Normal,South Indian Cuisine,1500-4000,Lunch/Dinner,Day/Evening
Colombo,Ceylon Curry Club,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Colombo,Upali’s by Nawaloka,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Colombo,The Gallery Café,High Class,Authentic Rice & Curry,4000-10000,Lunch/Dinner,Day/Evening
Colombo,Nuga Gama,High Class,Authentic Rice & Curry,4000-10000,Lunch/Dinner,Day/Evening
Colombo,The Lagoon,High Class,Authentic Rice & Curry,4000-10000,Lunch/Dinner,Day/Evening
Colombo,Palmyrah,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Colombo,Monsoon,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Colombo,Mayura Hotel,Budget,Hotel Restaurant Dining,500-1500,Lunch/Dinner,Day/Evening
Colombo,The Islander,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Colombo,Flow,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Colombo,Virticle By Jetwing,High Class,Authentic Rice & Curry,4000-10000,Lunch/Dinner,Day/Evening
Colombo,Chill Colombo,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Colombo,Barracuda Seafood & Churrasco,High Class,Seafood Specialties,4000-10000,Lunch/Dinner,Day/Evening
Colombo,Dinemore (Colombo),Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Colombo,Pilawoos,Budget,Cheese Kottu / Paratha,500-1500,Lunch/Dinner,Day/Evening
Kandy,Grand Sky Lounge,High Class,Rooftop / Lounge Dining,4000-10000,Lunch/Dinner,Day/Evening
Kandy,Vito Wood Fired Pizza,Normal,Italian Wood-Fired Pizza,1500-4000,Lunch/Dinner,Day/Evening
Kandy,Hideout Lounge,Normal,Rooftop / Lounge Dining,1500-4000,Lunch/Dinner,Day/Evening
Kandy,Cafe Banana Chill,Budget,Café & Brunch,500-1500,Lunch/Dinner,Day/Evening
Kandy,Theva Cuisine,High Class,Authentic Rice & Curry,4000-10000,Lunch/Dinner,Day/Evening
Kandy,The Empire Cafe,Normal,Café & Brunch,1500-4000,Lunch/Dinner,Day/Evening
Kandy,Sharon Inn,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Kandy,Scoobys Hideaway,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Kandy,Vito Wood Fired Pizza Peradeniya,Normal,Italian Wood-Fired Pizza,1500-4000,Lunch/Dinner,Day/Evening
Kandy,Cafe Lavia,Normal,Café & Brunch,1500-4000,Lunch/Dinner,Day/Evening
Kandy,Cafe Nuwara,Budget,Café & Brunch,500-1500,Lunch/Dinner,Day/Evening
Kandy,Balaji Dosai,Budget,South Indian Cuisine,500-1500,Lunch/Dinner,Day/Evening
Kandy,Buono,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Kandy,Slightly Chilled Lounge Bar & Restaurant,Normal,Rooftop / Lounge Dining,1500-4000,Lunch/Dinner,Day/Evening
Kandy,Licensed to Grill,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Kandy,Natural Coffee,Budget,Café & Brunch,500-1500,Lunch/Dinner,Day/Evening
Kandy,Kandy Muslim Hotel,Budget,Hotel Restaurant Dining,500-1500,Lunch/Dinner,Day/Evening
Kandy,Soul Food (Kandy),Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Kandy,Helga's Folly (dining),High Class,Authentic Rice & Curry,4000-10000,Lunch/Dinner,Day/Evening
Kandy,Royal Bar & Hotel Restaurant,Budget,Hotel Restaurant Dining,500-1500,Lunch/Dinner,Day/Evening
Galle,The Tuna & The Crab,High Class,Seafood Specialties,4000-10000,Lunch/Dinner,Day/Evening
Galle,A Minute by Tuk Tuk Restaurant,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Galle,Pedlar's Inn Cafe and Restaurant,Normal,Café & Brunch,1500-4000,Lunch/Dinner,Day/Evening
Galle,Church Street Social - Galle Fort,High Class,Street Food Experience,4000-10000,Lunch/Dinner,Day/Evening
Galle,The Bungalow - Restaurant & Bar,High Class,Rooftop / Lounge Dining,4000-10000,Lunch/Dinner,Day/Evening
Galle,Mango House Restaurant - Galle Fort,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Galle,The Archives Galle Fort - Restaurant,High Class,Authentic Rice & Curry,4000-10000,Lunch/Dinner,Day/Evening
Galle,AQUA Forte,High Class,Authentic Rice & Curry,4000-10000,Lunch/Dinner,Day/Evening
Galle,Lucky Fort Restaurant,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Galle,Elita Restaurant,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Galle,Chambers Restaurant,High Class,Authentic Rice & Curry,4000-10000,Lunch/Dinner,Day/Evening
Galle,Sugar Bistro,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Galle,Poonie's Kitchen,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Galle,Fort Bazaar (restaurant),High Class,Authentic Rice & Curry,4000-10000,Lunch/Dinner,Day/Evening
Galle,Galle Fort Hotel Restaurant,High Class,Hotel Restaurant Dining,4000-10000,Lunch/Dinner,Day/Evening
Galle,The Heritage Cafe & Bistro,Normal,Café & Brunch,1500-4000,Lunch/Dinner,Day/Evening
Galle,Calorie Counter (Galle Fort),Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Galle,Serendipity Arts Café,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Galle,The Stairway,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Galle,Kixi Galle Fort,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Matara,The Dutchman's Street,Normal,Street Food Experience,1500-4000,Lunch/Dinner,Day/Evening
Matara,Zephyr Ceylon,Normal,Authentic Rice & Curry,1500-4000,Lunch/Dinner,Day/Evening
Matara,Chef Akila Kitchen,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
Matara,"Silent Pup Restaurant & Bar, Café",Normal,Rooftop / Lounge Dining,1500-4000,Lunch/Dinner,Day/Evening
Matara,Aura Beach Club By W15,High Class,Authentic Rice & Curry,4000-10000,Lunch/Dinner,Day/Evening
Matara,Meewitha Weligama,Budget,Authentic Rice & Curry,500-1500,Lunch/Dinner,Day/Evening
